Region/Country/Area,,Year,Series,Value,Footnotes,Source
760,Syrian Arab Republic,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
760,Syrian Arab Republic,2010,Land area (thousand hectares),18363,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Arable land (thousand hectares),4687,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Permanent crops (thousand hectares),1009,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Forest cover (thousand hectares),491,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Arable land (% of total land area),25.5242,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Permanent crops (% of total land area),5.4947,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Forest cover (% of total land area),2.6739,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
760,Syrian Arab Republic,2017,Land area (thousand hectares),18363,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Arable land (thousand hectares),4662,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Permanent crops (thousand hectares),1071,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Forest cover (thousand hectares),491,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Arable land (% of total land area),25.388,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Permanent crops (% of total land area),5.8324,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Forest cover (% of total land area),2.6739,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
760,Syrian Arab Republic,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
760,Syrian Arab Republic,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
762,Tajikistan,2005,Land area (thousand hectares),13996,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Arable land (thousand hectares),757,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Permanent crops (thousand hectares),117,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Forest cover (thousand hectares),410,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Arable land (% of total land area),5.4087,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Permanent crops (% of total land area),0.836,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Forest cover (% of total land area),2.9294,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.7687,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
762,Tajikistan,2010,Land area (thousand hectares),13996,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Arable land (thousand hectares),746.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Permanent crops (thousand hectares),133.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Forest cover (thousand hectares),410,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Arable land (% of total land area),5.3365,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Permanent crops (% of total land area),0.956,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Forest cover (% of total land area),2.9294,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.7687,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
762,Tajikistan,2017,Land area (thousand hectares),13879,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2017,Arable land (thousand hectares),719.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2017,Permanent crops (thousand hectares),148,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2017,Forest cover (thousand hectares),412,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2017,Arable land (% of total land area),5.1855,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
762,Tajikistan,2017,Permanent crops (% of total land area),1.0664,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
